,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3882,Planalto Alegre,SC,805.0,355.0,1067.0,701.0,0.75,-52.86735203,-27.06945978,54974.03,19473.62
3884,Planura,MG,3298.0,3197.0,9326.0,6292.0,0.71,-48.69991886,-20.1386632,422034.79,36207.51
3885,Platina,SP,1043.0,824.0,2513.0,1571.0,0.72,-50.20893454,-22.63345726,76772.15,22182.07
3886,Poá,SP,30585.0,30115.0,104723.0,70582.0,0.77,-46.34622039,-23.52862657,4343585.1,37885.61
3887,Poção,PE,3265.0,2107.0,6981.0,4026.0,0.528,-36.7058799,-8.186227009,78918.87,7005.05
3889,Pocinhos,PB,4792.0,2781.0,10188.0,5910.0,0.591,-36.05644228,-7.078617269,222671.17,12068.24
3890,Poço Branco,RN,3365.0,1804.0,7399.0,4577.0,0.59,-35.65501177,-5.618851504,96470.01,6313.48
3891,Poço Dantas,PB,992.0,264.0,973.0,591.0,0.525,-38.49716553,-6.407175642,29.57,7834.07
3895,Poço Fundo,MG,5121.0,3020.0,9212.0,6103.0,0.691,-45.96496956,-21.78469255,262480.83,15585.82
3896,Poço Redondo,SE,7860.0,2317.0,8519.0,5112.0,0.529,-37.68421371,-9.805790208,263736.15,7723.55
3897,Poço Verde,SE,6584.0,3778.0,12280.0,7580.0,0.561,-38.17665822,-10.70759865,231624.6,9822.93
3898,Poções,BA,12907.0,10218.0,34582.0,20635.0,0.604,-40.36512729,-14.52232454,468594.12,9602.73
3899,Poconé,MT,8915.0,6327.0,23019.0,14483.0,0.652,-56.62650935,-16.25950947,510188.71,15841.91
3901,Pocrane,MG,3021.0,1861.0,5374.0,3207.0,0.626,-41.62900125,-19.6201444,87102.01,9798.85
3902,Pojuca,BA,9605.0,8290.0,28337.0,19377.0,0.67,-38.32716688,-12.42926313,800660.53,21073.9
3903,Poloni,SP,1816.0,1639.0,4800.0,3053.0,0.77,-49.81389491,-20.78585775,122049.91,20742.68
3904,Pombal,PB,9288.0,7532.0,25688.0,16094.0,0.634,-37.79826727,-6.769855485,367.26,11217.86
3905,Pombos,PE,7226.0,4929.0,15921.0,10132.0,0.598,-35.39619536,-8.14435986,337145.73,12532.37
3906,Pomerode,SC,8553.0,7423.0,22867.0,15898.0,0.78,-49.17419753,-26.7448264,1711890.51,53900.83
3907,Pompéia,SP,6362.0,5944.0,18507.0,12281.0,0.79,-50.17602805,-22.10614565,1070880.47,49748.23
3908,Pompéu,MG,8564.0,7525.0,25352.0,16426.0,0.69,-45.00187086,-19.22095718,672050.82,21402.21
3909,Pongaí,SP,1213.0,1031.0,2917.0,1913.0,0.755,-49.36087007,-21.73617647,75098.81,21493.65
3911,Ponta Grossa,PR,94865.0,92801.0,263969.0,172069.0,0.763,-50.16144206,-25.092547,12974926.16,38035.14
3912,Ponta Porã,MS,22440.0,17910.0,56934.0,35581.0,0.701,-55.71085018,-22.48618708,2586227.44,29334.28
3913,Pontal,SP,11702.0,11486.0,39313.0,26827.0,0.725,-48.0378373,-21.02571,1034.41,22094.38
3916,Pontalina,GO,6072.0,4941.0,13812.0,8943.0,0.687,-49.44818102,-17.51498442,448.32,24999.87
3917,Pontalinda,SP,1323.0,1088.0,3031.0,1967.0,0.7,-50.52460202,-20.44083384,74.21,16578.68
3918,Pontão,RS,1281.0,560.0,1547.0,983.0,0.725,-52.67539945,-28.06184084,240647.16,60342.82
3919,Ponte Alta,SC,1528.0,1114.0,3576.0,2176.0,0.67,-50.37710065,-27.46778407,102459.31,21363.49
3923,Ponte Branca,MT,651.0,561.0,1502.0,922.0,0.69,-52.83577573,-16.76764801,25306.4,15936.02
3924,Ponte Nova,MG,17649.0,16013.0,51046.0,33796.0,0.72,-42.90968427,-20.41664342,1486.69,24700.71
3925,Ponte Preta,RS,546.0,173.0,501.0,331.0,0.725,-52.49023192,-27.65703997,52219.79,30413.39
3926,Ponte Serrada,SC,3358.0,2417.0,7580.0,4944.0,0.693,-52.01453751,-26.87491283,218502.79,19001.89
3928,Pontes Gestal,SP,845.0,722.0,2123.0,1336.0,0.732,-49.70355236,-20.18236311,151.08,58265.54
3929,Ponto Belo,ES,2258.0,1811.0,5560.0,3436.0,0.669,-40.53813378,-18.12912609,82.31,10517.49
3930,Ponto Chique,MG,1105.0,716.0,2577.0,1570.0,0.606,-45.06313451,-16.63303974,38255.9,9031.14
3932,Ponto Novo,BA,4518.0,2625.0,8367.0,5091.0,0.58,-40.13539285,-10.86714783,111251.47,7000.47
3933,Populina,SP,1504.0,1219.0,3397.0,2169.0,0.71,-50.53685312,-19.94433313,92105.29,21651.45
3934,Poranga,CE,3401.0,2253.0,7788.0,4492.0,0.581,-40.92637951,-4.743950732,71965.65,5882.43
3935,Porangaba,SP,2798.0,1356.0,3996.0,2557.0,0.703,-48.12676744,-23.1753875,170534.37,18076.57
3936,Porangatu,GO,13487.0,11372.0,35597.0,23276.0,0.727,-49.14622605,-13.44218595,845940.48,18775.73
3937,Porciúncula,RJ,5724.0,4585.0,13837.0,8836.0,0.7,-42.04015636,-20.96260763,317864.25,17507.39
3938,Porecatu,PR,4495.0,3708.0,11353.0,7310.0,0.738,-51.37759899,-22.7562095,631550.88,45556.58
3939,Portalegre,RN,2143.0,1136.0,3829.0,2389.0,0.621,-37.98519483,-6.024328013,54034.43,6873.73
3940,Portão,RS,10138.0,8330.0,25633.0,17292.0,0.713,-51.23014964,-29.6962586,1192253.5,34705.95
3941,Porteirão,GO,1077.0,948.0,2895.0,1917.0,0.684,-50.16425042,-17.81540063,229617.71,61808.27
3942,Porteiras,CE,4150.0,1785.0,6189.0,3751.0,0.622,-39.11533146,-7.535746442,124352.92,8309.58
3943,Porteirinha,MG,11024.0,5824.0,19222.0,12562.0,0.65,-43.02852265,-15.74683773,309103.59,7980.99
3944,Portel,PA,9656.0,4985.0,24687.0,13424.0,0.483,-50.82249044,-1.936451,695.04,11716.45
3945,Portelândia,GO,1240.0,1002.0,3103.0,2009.0,0.654,-52.68068354,-17.3529241,206023.57,51122.47
3946,Porto,PI,2784.0,1827.0,7475.0,4281.0,0.55,-42.710926,-3.891422995,75494.22,6125.79
3947,Porto Acre,AC,4027.0,532.0,1978.0,1077.0,0.58,-67.54059008,-9.600858231,223.22,13045.53
3948,Porto Alegre,RS,508503.0,508503.0,1339712.0,889503.0,0.805,-51.22866046,-30.03003677,73425.26,49577.53
3952,Porto Amazonas,PR,1384.0,931.0,3815.0,2447.0,0.7,-49.88972087,-25.54157271,101640.89,21135.56
3953,Porto Barreiro,PR,1111.0,223.0,679.0,416.0,0.688,-52.40478676,-25.54518564,87.5,24807.69
3954,Porto Belo,SC,5178.0,4895.0,15137.0,10104.0,0.76,-48.60275674,-27.14946621,883655.96,44755.67
3955,Porto Calvo,AL,6513.0,5172.0,20164.0,12154.0,0.586,-35.39833446,-9.052448314,311.3,11362.15
3961,Porto Esperidião,MT,3030.0,1229.0,3631.0,2375.0,0.652,-58.46929874,-15.85763486,198300.35,17191.19
